Text,Sentiment
Amazing foods Fantastic interior Well behaved waiters Thumbs up,1
I been there more times.. always satisfied with there services.. have a small place for Children play ..that is very supportive for little Child.,1
Well that was something,1
"Actually i don't usually write reviews because i am a serious critic and my level of criticism is way too high. But honestly i like your restaurant more than anything. Your Korean bbq, Jamaican bbq are amazing. Wherever i go, office, friends house, no matter i physically go to restaurant or not i order these food through foodpanda or my driver. I reside in uttara and i hope one day they will open branch here. 10/10 food quality.",1
Its my favourite place.ï¿½ï¿½ï¿½ Best!!!! Nothing can beat their mashed potatoï¿½,1
provide delicious food and amazing items. Really good.,1
For Jamaican Chicken I will visit there time and time :) #best_in_town,1
Great foods and environment. I love this place very much.,1
The taste of food and the environment is awesome. Would love to be there again.,1
One of the best restaurant in the city . ... that all i can say .,1
Jamaican bbq were too awesome.... nice environment... thank goes to bbq,1
Nice place with delicious food . :),1
Overall good place with quality food...we'll go againï¿½ï¿½,1
"I've been to bbq in gulshan 2 numerous times and on each occasion I've been thoroughly pleased. The atmosphere is nice, waiters friendly, tables clean and food delicious. Without going into too much detail, 2 dishes can universally be recommended here, the pane mushroom soup and the korean charbroiled chicken. Whether you've been to bbq already or it would be your first time, you won't be disappointed with those 2 items.",1
Tastes up to the mark. Ambience at its best. Kids friendly.,1
The jamaican grilled platter is really good.,1
The food is great!,1
"bb.q is easily one of the restaurants in the top bracket of Dhaka due to its unparalleled taste, service and the ambience it provides for its customers. Definitely one of my top most go to places to grab a heart quenching meal.",1
"The jamaican grilled platter-do is amazing. The chicken is so juicy and the sides are so fresh. Bbq is definitely one of the best restaurants in Dhaka, undoubtedly. And if you dont like it, you probably eat trash. Lol I keep coming back again and again! The staff is super hospitable as well.",1
Great place for a meal. Really liked the Korean charboiled chicken and the Paris wings. The service was pretty great as well.,1
"Lol ï¿½ love, reading the reviews here, like life stories. The food was great ï¿½.",1
The food is sooooo awesomeeee. Every time I went to this bbq only for the best cooked bbq special chicken.,1
"..................... BPL 2016 Grand Final ..................... ................................... at ....................................... ...................... Friday, 9th December ..................... ........................... 01822-684 210 .......................... ***************************************************************... 1# Southern Stand =main price 600tk =asking price 800tk . 2# Shahid Mushtaque =main price 1000tk =asking price 1100tk . 3# VIP Grand Stand =main price 1000tk =asking price 1100tk . 4# Hospitality Box =main price 12000tk =asking price 11000tk . """""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" N.B : few tickets are available.......!! . hotline : 01822-684 210",1
I just love your food :D Keep it up !!! Your korean charbroiled is excellent,1
Just loved d quality food...... BBQ & combination pizza were amazing....ï¿½ï¿½ï¿½..... with my favourite raspberry smoothie ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,1
Love ur...Pizzas...........especially Korean charbroiled pizza,1
One of my favorite place for having lunch and their value meals are great !! ï¿½ï¿½,1
"In one word just ""AWESOME""",1
First of all foods are very delicious and also nice location. But I don't understand why they charged too much.,1
love this place from service to food everything was so perfect.....,1
"The food is amazing, loved the sitting arrangements & it has got the best mocha ï¿½ï¿½",1
Good environment with good food. I m loving it. Go ahead,1
really yummy foods with impressive service........,1
"Nice place,food was tasty <3 the food nd place I will tell everybody to go there :)",1
"I love this place. The Korean charbroiled chicken is to die for. I have been here a lot of times and I have never been disappointed until the last time. I was served cold food, even the mushroom soup was barely warm. And something is wrong with your mashed potato, it is usually so yummy (in Gulshan branch) but in my last two visits in dhanmondi branch I was disappointed with it too (may be the chef here is not getting the recipe right) Anyway, I really hope you guys were just having a bad day, but please make sure this doesn't happen again...COLD food is just not acceptable. I look forward to visit you many more times, please don't ruin the place for me. Thank you",1
the new luncheon items are delicious and great. love it very much.,1
I love bbq food nice environment mouth watering food taste,1
Very much impressing,1
Classy.....!,1
"First time there today ..loved the decor,ambience . The food tasted great ....would definitely recommend to friends and family",1
Best fried chicken I've ever tasted..... Mind blowing!!!!!! I just need it regularly ....,1
I am loving it,1
Undoubtedly the place for the best chicken recipes in town.,1
The Gorgonzola Shrimp pizza is to die for! Would go back for it anyday :),1
Koraaa,1
Korean charboiled thighs... Best thing in this earth,1
A great place to enjoy korean as well as jamaican bbq..,1
bbq my baste Manu,1
"Offer Letter of Website Design and Development Dear Sir/Mam ... Salam and Greetings With much pleasure I do hereby take the opportunity to introduce with our organization Lumextech Solutions Ltd. We are serving with Bangladesh Computer Council (BCC), Comilla University, Victoria University and many other reputed Organizations with a dedicated and skilled team. We offer professional hassle free Software and Web development solution service in a very competitive price providing you an excellent opportunity potentially to increase your Business Needs through our Software. Your satisfaction is guaranteed and we will cater all your business needs, ensuring a pleasant experience for you all the way. Our Web Design and Development team consists of talent skilled people who are capable of designing and developing premium quality websites with rich functionalities. Our website development project ranges from simple html based websites to multifunctional web portals with rich CMS systems. We also develop high quality web based applications. We also develop e-commerce portals and provide e-commerce services. We do Web Design and Development for all kinds of companies and organizations Weâ€™re waiting for your reply and sincerely looking forward towards a long term beneficial business relationship. Youâ€™re welcome to contact us at your any convenience in any further clarification or letâ€™s fix a meeting to show the Life Work Demo. We have attached our Company profile herewith for your kind information. We wish your continued success. Best Regards S M Zahidul Islam Executive Officer Lumextech Solutions Ltd. 63/3 Lake Circus (Dholphin Goli) Kalabagan , Dhaka Cell: +88 01711 637411 (personal)",1
Best teste ever .....â¤â¤â¤ Good food quality ....,1
Best taste with best environment. Absolutely premium chicken.,1
Really Great Test Eat Fresh!!! I just Love bbq. Foods are awesome. I use to go to the place I loved. Wish bbq all the best.... :D,1
Thanks almighty for make me a member of this family! !!!!!!ï¿½,1
great service with great food wow wow wow............................................................................................,1
"Quality food with great ambiance, will visit again, thank you.",1
Awesome and delicious food...good service and a great place for sure! :) Loved the Korean char boiled chicken :D Everything is perfect except the price...its a bit expensive.,1
loved the hot n spicy chicken fry . nice ambience and hospitality . I will rate this one as on the top restaurants in Dhaka.,1
Good step,1
Brilliant,1
Loved the charboiled chicken :) Wonderful,1
"Amazing food, great service !!",1
Good food,1
Good food and a healthy one too,1
"It is really good place for dinner, Jamaica & Korean chicken both tested well..... Combination Pizza was awesome. Will love to go there again :)",1
good food n excellent services,1
Asad,1
"Simple words to describe BBQ Bangladesh ""a heritage of fine dining delicacy""",1
Loved it!,1
Tasty. The food is really really good. The mashed potatoes they make is extraordinary tho.,1
tuyet voi,1
Delicious!,1
Real value for money deal ! Amazing food !,1
"Tried their Shrimp Gorgonzola Pizza and Chicken Cream pasta. Perfect. Burgers and Fries on next visit. Hope they make it to my personal ""Top 3 Burgers in Town"" list. (Yes, I'm a Burgerholic)",1
Absolutely love it! The food are so fresh and tasty! Probably one of the best eat out place in Dhaka at the moment.,1
à¦¸à§à¦¨à§à¦¦à¦° à¦®à¦¾à¦œà¦¾à¦°,1
Awsum food <3,1
This place is a bomb.,1
Superb,1
Tonight I had a wonderful dinner with my family at bbq & food is very testy,1
Great place!,1
Jus cudnt stop myself giving 1 stars Good place. Amazing food :),1
"Just came back to visit the country after a year and a half, and had my first restaurant meal here. Happy to say that the quality is as good as it ever was, and my old favorite ""Korean charbroiled chicken"" tasted just like it should. Great experience as always, and will definitely be coming back before I leave again!",1
Wow Chicken,1
"super food, great place (y)",1
Food is awesome,1
Best!,1
I found the food is hygienic and the environment and location is comfortable.,1
Fatafati. ...awesome .....jossss,1
F9,1
yummyyyyyyyy....,1
Nice foods. ..,1
Superb service...,1
"I go there everyday! Enough said, lol!",1
"Excellent food. Lousy service. The staff needs better training. They seriously lack coordination. Edit: They've come a long way since their bumpy beginnings. This is now one of my favorite places to eat. The staff are lovely. I do wish you added more variety to your menu though. I've tried everything on the menu a gazillion times already. Not everything on the menu is good (pizza, I'm looking at you). But the ones that are are amazing.",1
"Great food, good service, cool place....:) Can easily be ranked as one of the bests in BD...:)",1
Had the original BBQ Chicken and Honey Mustard Salad...Was amazing in taste and the environment is great too...Hats off bbq...,1
Chicken and salad was awesome !!! Dessert could have been bettter ! But the best thing was they appreciated our feed back on the dessert and instantly did everything to set it rite :) thanks to Brig Gen Manzur Qader uncle (one of the owners) to spend some time with us over a quick chat and patiently listening to our reviews on the food and menu. Definitely trying out the other items soon !!,1
Awesome food with awesome service...,1
Best place,1
quite good .. superb decoration .. price is a little bit high .. but the food was really so good .. fresh and special to me .. (y),1
Very Good Food. Value for money.,1
BEST FOOD IN BANGLADESH,1
That was great ...... I love it.......,1
Decoration is good enough. Service is also good and so fast. And the special thing is their food quality...very tasty and yummy. Free wifi available here..Excellent behavior and serviceability.,1
Great food & taste. totally worth spending money. pls do checking. highly Recommend!,1
Place ta besi jossï¿½ï¿½ï¿½ always jodi amn khabar serve kore inshallah success hobe....,1
"Spicy6's Interesting menu, wonderful meal that was perfectly served by waiter, also filled in wonderfull environment and classy service and the service was exactly on time, hot & fresh food and oh so good. All in all, a perfect meal and gorgeous interior!! Nice place for family gathering, party and have all arrangements for parties, simply the best place in town.",1
We had iftar with family. ifter menu was good. I found it a nice place to hangout with family and quality friends. food quality is also good. very neat and clean cafe.,1
It is a very good restaurant. Decoration is tremendous out door was wonderful. Excellent quality of foods & services with reasonable prices. I just love this place......want to visit more time.....,1
"It's a nice experience at spicy 6. The service was excellent. Management personnel are very much conscious about the quality of services. The menu was also awesome. If u wanna suggestion, then u should focus on innovative and delicious food items which can make ur restaurant different from others and should take arrangements for temporary roof for open space during day of summer and rainy season to enjoy the open environment.",1
The food was good but the service is very slow on my 2nd time... Big thumbs up for the authority who personally take charge & make sure we get our food quickly,1
I usually don't post and comment but this place was awesome and also food was delicious...that's why....Amazing stuff so friendly and the service was so smooth... ...thanks guys..,1
One of the best set menu i ever haveï¿½ And the Thai soup was tasty and spicyï¿½loved itï¿½ And there service and there behave was too goodï¿½ Well behavedï¿½ï¿½ I really love the placeï¿½ And there foodï¿½,1
Excellent environment and the quality of food is just awesome. Highly recommended.,1
"they have wonderful place its just awesome also their food yammi its delicious also, they maintain good quality also..",1
Reall food is very gd not only that also nice place nice view. I love the view.,1
"Excellent quality of foods & services with reasonable prices! Moreover, the environment is so nice... So, I think they are providing Total Value to the customers. Best wishes for the team of Spicy6.",1
Awsome environment wd testy Food... I arrange a party around 21people they all love da food n view..stuff are well mannered...in Sha Allah I ll come again n again,1
Really.....Its preety good place ever. I am loving to this restuarant. There dishes are soooo tasty and they have very good staff. They are so loyal and very good.,1
"The restaurant is very good and interior just awesome. Their food is very good,price is reasonable and quality is very good. Best wishes for you business :)",1
"The restaurent is very good and interior is awesome. Their food is very good,price is resonable and quality is very good. I just love it.",1
Just Woww... Osam food quality i just love ï¿½ï¿½and place also very niceï¿½ï¿½,1
excellent environment....excellent decoration...nd yummy foods....I just love tihs place...and want to visit more and more,1
"as a foodie,I love the quality of their food...environment is superb... I would love to go there again and againðŸ’œðŸ’œ",1
Awesome place ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,1
It's a grate experience Spicy 6.....Excellent quality of foods n service. I just love this place......,1
"as I love to explore food and new environment, I simply loved their embience and food ofcourse! satisfactory!",1
I will be back there again and again.....I had a great experience there. I love the strawberry shake and priorities shake.,1
Very nice,1
Awesome food bestbservice and nice decoration overall a wonderful place for enjoyment.,1
u have decorated the place so nicely and the food quality is admirable too,1
"Place,food,interior & service are very good. All the best for spicy6. May allah bless you.",1
Nice decoration. Nice environment. Good service. Food test was awesome. Well behaved(full trained)... I love this restaurant.,1
This place are awesome. I just loved it.Decoration are very good.,1
Amazing interior. Food is good. Beautiful place to spend some good time.,1
"If I tell my fillings and my experience about spicy6. In 1 word, 100/100.",1
Food quality is too much healthy and good....i loved it ...,1
Nice,1
"Nice interior, nice behaviour, good food, reasonable price",1
"the environment,food and the service was great..!!",1
Joss akta place. Nice decorations & Yummy Food... ï¿½ï¿½ï¿½ï¿½ï¿½,1
à¦–à§à¦¬ à¦¸à§à¦¨à§à¦¦à¦° à¦¯à¦¾à§Ÿà¦—à¦¾....à¦à¦¬à¦‚ à¦–à¦¾à¦¬à¦¾à¦°à§‡à¦° à¦®à¦¾à¦¨ à¦…à¦¨à§‡à¦• à¦­à¦¾à¦²ðŸ˜ðŸ˜,1
Good time Good food Amsome place .. Beautiful.decoration,1
All the best......................................,1
Filling the real spice...... Come n' injoy........,1
I don't know how I haven't been here before. Really great coffee and perfect coffee shop vibe.,1
Yâ€™all should try their homemade items and cold coffee. One of its kind.,1
"Valo laglo, choto space e homemmade pastry, cakes etc. cold coffee ta exceptional.",1
Decent behave and foods are so much hygienic and tasty,1
I LOVED IT,1
Very good,1
"à¦…à¦¨à§‡à¦• à¦ªà§à¦°à¦¿à§Ÿ à¦à¦•à¦Ÿà¦¾ à¦œà¦¾à§Ÿà¦—à¦¾,à¦›à§‹à¦Ÿ à¦¬à§‡à¦²à¦¾ à¦¥à§‡à¦•à§‡à¦‡ à¦à¦–à¦¾à¦¨à§‡ à¦¬à§‡à¦°à§‡ à¦‰à¦ à¦¾à¥¤ à¦à¦‡ à¦¸à§à¦¨à§à¦¦à¦° à¦à¦•à¦Ÿà¦¾ à¦®à¦¨à¦°à¦® à¦ªà¦°à¦¿à¦¬à§‡à¦¶à§‡ à¦à¦‡ à¦«à§à¦¡ à¦•à¦°à¦¨à¦¾à¦° à¦Ÿà¦¾ à¦¦à§‡à§Ÿà¦¾à¦° à¦œà¦¨à§à¦¯ à¦§à¦¨à§à¦¯à¦¬à¦¾à¦¦à¥¤ à¦†à¦¸à¦¾ à¦•à¦°à¦¿ à¦–à¦¾à¦¬à¦¾à¦° à¦®à¦¾à¦¨ à¦à¦–à¦¨ à¦à¦° à¦®à¦¤à¦¨ à¦§à¦°à§‡ à¦°à¦¾à¦–à¦¬à§‡à¦¨à¥¤ à¦¸à¦¾à¦«à¦²à§à¦¯ à¦•à¦¾à¦®à¦¨à¦¾ à¦°à¦‡à¦²à§‹à¥¤ At the end of tha day - à¦®à¦¾à¦®à¦¾ "" à¦–à¦¾à¦¬à§‡à¦¨ à¦•à¦¿?""",1
à¦¸à¦¾à¦§à§à¦¯à§‡à¦° à¦®à¦§à§à¦¯à§‡ à¦¸à§‡à¦°à¦¾à¦Ÿà¦¾ à¦ªà¦¾à¦¬à§‡à¦¨à¥¤,1
Cold coffee khub-e valo silo.....apnara try korta paran......,1
"à¦‡à¦«à¦¤à¦¾à¦°à§‡à¦° à¦†à¦‡à¦Ÿà§‡à¦® à¦—à§à¦²à§‹ à¦¦à¦¾à¦°à§à¦£..!!à¦¬à¦¿à¦¶à§‡à¦· à¦•à¦°à§‡ à¦“à¦¨à¦¥à¦¨,à¦¸à§à¦ªà§à¦°à¦¿à¦‚ à¦°à§‹à¦² à¦Ÿà¦¾ à¦¬à§‡à¦¶à§€ à¦¦à¦¾à¦°à§à¦£.!.!ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½",1
à¦†à¦œ à¦‡à¦«à¦¤à¦¾à¦°à¦Ÿà¦¾ à¦–à§à¦¬à¦‡ à¦¸à§à¦¬à¦¾à¦¦ à¦¹à¦²à§‹à¥¤,1
"Well, if you are into Dosas and don't know where to go, then this is the right place for you! Yesterday went to this place with the whole family. The staff of the place were awesome and welcoming. The Dosas were tasty like hell! And most amazing thing about this place is the price range! You can literally have all the types of dosas with about 600-700 tk! Overall loved it! Will go again to have some more! :)",1
DOSA Lazawab is one of the best and unique food concept which i ever seen in old dhaka. I just loved all of the food but there is some limitation which is small place. So when i was sat on there i shared with other in front of my sit. At the moment i just think here need some compromising bcs everyone want to test the food of DOSA Lazawab thats why without any hesitation freely i enjoyed my choiceable food sharing with other unknown person.So come to Dosa Lazawab and understand the feelings of customer as like U.,1
Here is excellent taste of foods.....Dosa's taste is the best !!â¤ï¸â¤ï¸,1
"Well, if you are into Dosas and don't know where to go, then this is the right place for you! Yesterday went to this place with the whole family. The staff of the place were awesome and welcoming. The Dosas were tasty like hell! And most amazing thing about this place is the price range! You can literally have all the types of dosas with about 600-700 tk! Overall loved it! Will go again to have some more! :)",1
DOSA Lazawab is one of the best and unique food concept which i ever seen in old dhaka. I just loved all of the food but there is some limitation which is small place. So when i was sat on there i shared with other in front of my sit. At the moment i just think here need some compromising bcs everyone want to test the food of DOSA Lazawab thats why without any hesitation freely i enjoyed my choiceable food sharing with other unknown person.So come to Dosa Lazawab and understand the feelings of customer as like U.,1
"First of, *Great Decor and *Great Hospitality.. *Very Reasonable Price.. *Some of the food was absolutely mouth watering.. * special thumbs up to the complimentary dishes on the menu that were *Karahi curry, *Chole vatore, *Chees alu paratha and mostly *Hyderabadi Dosa. it's the best restaurant in old dhaka i have ever seen.. i want to visit there again and again.. *In the one word it's ""Lazawab""",1
For the frst time i go there wid my frnds previous day.. It was awesome... ï¿½ there dosa was just wow!! Nd its too much cheap.. Anyone can afford there food... Nd we try to give there tips but they deny to take this.. It was very shocking thing... Coz anywhere we ate they always beside us for tips. . but they dnt like as others.... I also satisfy with there behavior.. I will go there more nd more time In Sha Allah...,1
"Authentic test of Indian food, in a word mouthwatering food, quality service, great environment, you're doing great ! But I would like to suggest you according to your huge costomer demand you should get a bigger place soon. Thanks for your excellent service and I wish you good lucks. Dosa lazawab rocks .....",1
"Excellent food & food quality :D Very cheap price (Y) Great place to hangout with FNF :) There service is very good (y) Rating overall is 10/10 :) Best service, best food as well ï¿½...",1
Yesterdy me and my wife eating Dhoi fuchka and special mix noodles.me and she is a fan's of your foods.Very nice and excellent food with beautiful decoration & the service is great also.thanks all.,1
"Dosa Lazawab is the best food shop in old town...The food is so fresh,,delecious and sooooo yummyyy...ï¿½ï¿½",1
"Excellent food with cheap price,also food quality is good, love this place.....",1
Most of the food are very tasteful... nd good. one of the best restaurant in our area.. ï¿½ï¿½,1
Itz not a big place.. But itz quality iz more big.. I love their foodZ.. And i go there many time.. Just a awesome good & testy foodz serves by them,1
It's Awesome. Environment and food services are too too good. i love chola bhature. Old Dhakas best restaurant.,1
it's just awesome place. Food taste & quality is too good. quicker service. overall 10 on 10.,1
"I love this place n food, good food with good manners...!!",1
it's just awesome place. Food taste & quality is too good. quicker service. overall 10 on 10.,1
"Food items are excellent, cheap& good....place ta small but decoration nice....",1
best best best! jst loved their food & hospitality! 10/10,1
The best ever in old Town. Everything is so good.. Taste 10/10...,1
I had The taste of real Dosa after an ages! Will Surely visit there once again!,1
excellent food with beautiful decoration & the service is great also. :) 10/10,1
Love it ï¿½ï¿½ Their food is too much good... Specially their dosa ï¿½,1
The foods are really very delicious. But need more sitting spaces.,1
Good Food with reasonable price. They should manage more seating arrangement.,1
1 Kothay it's LaZaWaB ï¿½ ï¿½ ï¿½ so go & get ur's testy food.,1
Good food !!! Very cheap price The service is very good & friendly.....I loved it,1
excellent food with beautiful decoration & the service is great also.,1
"excellent food n cool decoration,,, dosa it's really lazawab!!!!!",1
Sometimes i go to DOSA Lazawab .ur food item doi fuska is so good.I like doi fuska!!! Oh! It was so yummy..,1
Everything is ok. Need spacious environment so that large volume of people can utilise.,1
Testy and good items everything all over excellent.,1
The food was really tasty specially the taste of Chicken Karahi Curry was awesome...,1
Superb test and so reasonable price ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,1
Excellent food with beautiful decoration & good food.... Yummy DOSA,1
Wow ! Nice Decoration & delicious food. I liked the behavior of the waiters. I love DOSA Lazawab.,1
Dosa really lazawab....eating chicken karahi curry...,1
Good food's in cheap price.,1
just awesome ï¿½ï¿½,1
Really lazawab ï¿½,1
#friendly_place #food_is_awsome #reasonable_price,1
its lovely ï¿½ space ta ektu boro hole valo hoto (Â´ï½¥_ï½¥`),1
"decoration kub valo chilo, but space ta akut choto .. khabarer price onk onk onk reasonable taest onak valo ......",1
à¦à¦• à¦•à¦¥à¦¾à§Ÿ à¦…à¦¸à¦¾à¦§à¦¾à¦°à¦¨ à¦–à¦¾à¦¬à¦¾à¦° :-) resonable price :-) bosar space arektu barale vhalo hoy.,1
"à¦–à¦¾à¦¬à¦¾à¦°à§‡à¦° à¦¸à§à¦¬à¦¾à¦¦, à¦ªà¦°à¦¿à¦¬à§‡à¦¶ à¦à¦¬à¦‚ à¦ªà¦°à¦¿à¦¬à§‡à¦¶à¦¨à¦¾ à¦¸à¦¬à¦‡ à¦à¦–à¦¾à¦¨à§‡ à¦‰à¦šà§à¦šà¦®à¦¾à¦¨à§‡à¦°,,,,ï¿½ï¿½ï¿½ à¦¶à§à¦§à§ à¦à¦•à¦¦à¦¿à¦•à§‡à¦‡ à¦à¦Ÿà¦¾ à¦à¦•à¦Ÿà§ à¦ªà¦¿à¦›à§€à§Ÿà§‡ ,,ï¿½ï¿½ï¿½ à¦†à¦° à¦¤à¦¾ à¦¹à¦šà§à¦›à§‡ à¦–à¦¾à¦¬à¦¾à¦°à§‡à¦° à¦®à§‚à¦²à§à¦¯..ï¿½ï¿½ï¿½ #I_love_it",1
"à¦†à¦²à¦¹à¦¾à¦®à¦¦à§à¦²à¦¿à¦²à§à¦²à¦¾à¦¹à§â€Œ, à¦à¦Ÿà¦¿ à¦¹à¦¾à¦²à¦¾à¦² à¦–à¦¾à¦¬à¦¾à¦°à§‡à¦° à¦…à¦¨à§à¦¯à¦¤à¦® à¦ªà§à¦°à¦¤à¦¿à¦·à§à¦ à¦¾à¦¨à¥¤",1
à¦à¦• à¦•à¦¥à¦¾à§Ÿ lazawab ï¿½................................. 10/10,1
Well food with reasonable price. But service should be more improved.,1
"Good food,but not all itmes available",1
Little one create a page.thinking they are trying to do the best.,1
Yesterday i bought a pizza. Its good! Recommended!,1
"Special Coffee. I enjoyed....... :) You will love to spend few moments here. Cool Place to Hangout. Nice Interior design. ** Just visit the Restaurant, and get 10% Discount on each items **",1
today I had a taco & a thai soup..I just loved it.. it was really good ï¿½ï¿½ï¿½,1
"Quality,Quantity,Environment & Behaviour sob e ak kothay osadharon. Best of luck for Mr. Taco Cafe. Go Ahead :)",1
"Quality,Quantity,Environment & Behaviour sob e ak kothay osadharon. Best of luck for Mr. Taco Cafe.",1
Nice environment to enjoy the evening and have some food.,1
Ite nice place to eonjoy the difrent tast food.ok,1
good quality food............. ....!................,1
"ai niye 3bar mr taaco te khelam... khabar guli khubi majadar,,,",1
"Nice place to dine out having cool environment, good & disciplined staffs, extraordinary good services, very much tasty, awesome & yummy foods. Come back soon, & Many times.",1
Delicious food with reasonable price..the services are excellent..& of course i'll come there again..I just loved it..& obviously the decorations of the restaurant are awesome..,1
